date,E-Today(KWH),A0-Grid over voltage,A1-Grid under voltage,A2-Grid absent,A3-Grid over frequency,A4-Grid under frequency,A6-Grid abnormal
2025-12-02,14,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-03,18,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-04,16,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-05,12,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-06,17,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-07,16,2.0,0.0,0.0,0.0,0.0,0.0
2025-12-08,17,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-09,14,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-10,15,2.0,0.0,0.0,0.0,0.0,0.0
2025-12-11,14,4.0,0.0,0.0,0.0,0.0,0.0
2025-12-12,11,2.0,2.0,8.0,0.0,6.0,2.0
2025-12-13,8,4.0,0.0,0.0,0.0,0.0,0.0
2025-12-14,10,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-15,11,8.0,4.0,4.0,2.0,4.0,0.0
2025-12-16,13,6.0,0.0,0.0,0.0,0.0,0.0
2025-12-17,11,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-18,10,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-19,12,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-20,3,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-21,13,0.0,6.0,2.0,0.0,2.0,0.0
2025-12-22,25,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-23,24,4.0,2.0,4.0,2.0,2.0,0.0
2025-12-24,20,6.0,0.0,0.0,0.0,0.0,0.0
2025-12-25,30,4.0,0.0,0.0,0.0,0.0,0.0
2025-12-26,29,2.0,0.0,0.0,0.0,0.0,0.0
2025-12-27,28,6.0,0.0,0.0,0.0,0.0,0.0
2025-12-28,18,4.0,0.0,0.0,0.0,0.0,0.0
2025-12-29,19,0.0,4.0,4.0,2.0,4.0,0.0
2025-12-30,4,2.0,2.0,2.0,0.0,2.0,0.0
2025-12-31,5,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01,29,0.0,4.0,6.0,2.0,4.0,0.0
